Model: "sequential_1"
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
flatten_1 (Flatten)          (None, 25)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 32)                832       
_________________________________________________________________
dense_2 (Dense)              (None, 16)                528       
_________________________________________________________________
dense_3 (Dense)              (None, 8)                 136       
_________________________________________________________________
dense_4 (Dense)              (None, 1)                 9         
=================================================================
Total params: 1,505
Trainable params: 1,505
Non-trainable params: 0
_________________________________________________________________
None
[Info] Start Uniform Random Simulation.
Training for 100000 steps ...
   100/100000: episode: 1, duration: 0.178s, episode steps: 100, steps per second: 561, episode reward: 17.026, mean reward: 0.170 [0.030, 0.452], mean action: 0.000 [0.000, 0.000], mean observation: 1.432 [-0.645, 10.323], loss: --, mae: --, mean_q: --
   200/100000: episode: 2, duration: 0.072s, episode steps: 100, steps per second: 1395, episode reward: 14.491, mean reward: 0.145 [0.013, 0.408], mean action: 0.000 [0.000, 0.000], mean observation: 1.426 [-0.622, 10.135], loss: --, mae: --, mean_q: --
   300/100000: episode: 3, duration: 0.065s, episode steps: 100, steps per second: 1533, episode reward: 15.421, mean reward: 0.154 [0.020, 0.406], mean action: 0.000 [0.000, 0.000], mean observation: 1.435 [-0.730, 10.336], loss: --, mae: --, mean_q: --
   400/100000: episode: 4, duration: 0.061s, episode steps: 100, steps per second: 1646, episode reward: 21.101, mean reward: 0.211 [0.024, 0.569], mean action: 0.000 [0.000, 0.000], mean observation: 1.428 [-0.741, 10.384], loss: --, mae: --, mean_q: --
   500/100000: episode: 5, duration: 0.061s, episode steps: 100, steps per second: 1646, episode reward: 19.810, mean reward: 0.198 [0.030, 0.526], mean action: 0.000 [0.000, 0.000], mean observation: 1.434 [-1.000, 10.098], loss: --, mae: --, mean_q: --
   600/100000: episode: 6, duration: 1.304s, episode steps: 100, steps per second: 77, episode reward: 16.104, mean reward: 0.161 [0.041, 0.435], mean action: 0.000 [0.000, 0.000], mean observation: 1.429 [-0.698, 10.259], loss: 0.008208, mae: 0.095281, mean_q: 0.448018
   700/100000: episode: 7, duration: 0.543s, episode steps: 100, steps per second: 184, episode reward: 16.070, mean reward: 0.161 [0.003, 0.410], mean action: 0.000 [0.000, 0.000], mean observation: 1.423 [-1.096, 10.098], loss: 0.004684, mae: 0.076834, mean_q: 0.399153
   800/100000: episode: 8, duration: 0.566s, episode steps: 100, steps per second: 177, episode reward: 21.935, mean reward: 0.219 [0.030, 0.440], mean action: 0.000 [0.000, 0.000], mean observation: 1.444 [-0.487, 10.388], loss: 0.004644, mae: 0.075653, mean_q: 0.374479
   900/100000: episode: 9, duration: 0.562s, episode steps: 100, steps per second: 178, episode reward: 20.118, mean reward: 0.201 [0.036, 0.434], mean action: 0.000 [0.000, 0.000], mean observation: 1.421 [-1.199, 10.098], loss: 0.004711, mae: 0.076819, mean_q: 0.370212
  1000/100000: episode: 10, duration: 0.541s, episode steps: 100, steps per second: 185, episode reward: 15.553, mean reward: 0.156 [0.010, 0.349], mean action: 0.000 [0.000, 0.000], mean observation: 1.438 [-1.086, 10.189], loss: 0.004568, mae: 0.075715, mean_q: 0.362116
  1100/100000: episode: 11, duration: 0.553s, episode steps: 100, steps per second: 181, episode reward: 16.104, mean reward: 0.161 [0.040, 0.440], mean action: 0.000 [0.000, 0.000], mean observation: 1.415 [-0.644, 10.098], loss: 0.004467, mae: 0.075425, mean_q: 0.355180
  1200/100000: episode: 12, duration: 0.515s, episode steps: 100, steps per second: 194, episode reward: 16.209, mean reward: 0.162 [0.028, 0.432], mean action: 0.000 [0.000, 0.000], mean observation: 1.432 [-0.862, 10.383], loss: 0.004257, mae: 0.072723, mean_q: 0.349799
  1300/100000: episode: 13, duration: 0.535s, episode steps: 100, steps per second: 187, episode reward: 17.386, mean reward: 0.174 [0.013, 0.471], mean action: 0.000 [0.000, 0.000], mean observation: 1.431 [-0.915, 10.098], loss: 0.004069, mae: 0.071532, mean_q: 0.345168
  1400/100000: episode: 14, duration: 0.565s, episode steps: 100, steps per second: 177, episode reward: 18.798, mean reward: 0.188 [0.049, 0.394], mean action: 0.000 [0.000, 0.000], mean observation: 1.436 [-0.312, 10.367], loss: 0.004521, mae: 0.075829, mean_q: 0.349086
